ID,LABEL,IAO:0000115,oboInOwl:hasExactSynonym,oboInOwl:hasNarrowSynonym,oboInOwl:hasBroadSynonym,oboInOwl:hasRelatedSynonym,rdfs:comment
obo:PREFER_0000028,minimum stirring setpoint control variable,A precision fermentation process dissolved oxygen control variable that represents the target minimum revolutions per minute (rpm) of the bioreactor stirrer to be regulated and or maintained within a bioreactor or fermentation system during a fermentation process.,minimum shaking speed setpoin|minimum shaking speed setpoint control variable|minimum stirring speed setpoin|minimum stirring speed setpoint control variable|precision fermentation process minimum aeration setpoint control variable,,,,
obo:PREFER_0000029,pressure cultivation condition,"A cultivation condition that represents the pressure related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the pressure state within the cultivation environment.",,,,,
obo:PREFER_0000030,aeration gas type control variable,"A precision fermentation process dissolved oxygen control variable that represents the type of gas used for aeration in a bioreactor or fermentation system during a fermentation process, which may include aire or specific gases such as pure oxygen, nitrogen or carbon dioxide.",precision fermentation process aeration gas type control variable,,,,
obo:PREFER_0000031,maximum aeration setpoint control variable,A precision fermentation process dissolved oxygen control variable that represents the target maximum rate of at which gas can be supplied to be regulated and or maintained within a bioreactor or fermentation system during a fermentation process.,maximum aeration setpoint|precision fermentation process maximum aeration setpoint control variable,,,,
obo:PREFER_0000032,minimum aeration setpoint control variable,A precision fermentation process dissolved oxygen control variable that represents the target minimum rate of at which gas can be supplied to be regulated and or maintained within a bioreactor or fermentation system during a fermentation process.,minimum aeration setpoint|precision fermentation process minimum aeration setpoint control variable,,,,
obo:PREFER_0000033,dissolved oxygen cultivation condition,"A cultivation condition that represents the dissolved oxygen related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the concentration of oxygen dissolved in the cultivation environment.",DO cultivation condition,,,,
obo:PREFER_0000034,starting optical density measurement variable,A precision fermentation process measurement variable that indicates the initial optical density (OD) of the fermentation culture from a bioreactor or fermentation system during a fermentation process.,precision fermentation process starting optical density measurement variable|starting OD measurement variable,,,,"The starting OD measurement is either measured (by taking a sample after inoculation and measuring the cell density spectophotometrically at 600nm or 900nm wavelength) or  calculated (by knowing the final OD of the seed culture, volume inoculated and final cultivation volume)."
obo:PREFER_0000035,final seed optical density measurement variable,A precision fermentation process measurement variable that indicates the cell density of the seed culture for the process at the time it is inoculated  to the bioreactor or fermentation system.,final seed OD measurement variable|precision fermentation project final seed optical density measurement variable,,,,
obo:PREFER_0000036,initial culture volume measurement variable,"A precision fermentation process measurement variable that indicates the total volume of the culture of a bioreactor or fermentation system, at the beginning of the process, representing the sum of fermentation medium and seed culture.",initial production culture volume measurement variable|precision fermentation process initial culture volume measurement variable|starting culture volume measurement variable|starting production culture volume measurement variable,,,,
obo:PREFER_0000037,feed medium cultivation condition,"A fermentation medium cultivation condition that represents the feed related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the addition and state of fresh feed media within the cultivation environment.",,,,,
obo:PREFER_0000038,batch medium pH measurement variable,A precision fermentation process measurement variable that indicates the negative decadic logarithm of the hydrogen ion concentration in the batch fermentation medium of a bioreactor or fermentation system during a fermentation process.,precision fermentation project batch medium pH measurement variable,,,,
obo:PREFER_0000039,dissolved oxygen measurement variable,A precision fermentation process measurement variable that indicates the concentration of oxygen molecules (O₂) dissolved in the fermentation medium of a bioreactor or fermentation system during a fermentation process.,DO measurement variable|precision fermentation process dissolved oxygen measurement variable,,,,
obo:PREFER_0000040,pH measurement variable,A precision fermentation process measurement variable that indicates the potential of hydrogen of the production culture from a bioreactor or fermentation system during a fermentation process.,precision fermentation process pH measurement variable,,,,
obo:PREFER_0000041,temperature measurement variable,A precision fermentation process measurement variable that indicates the temerature of the production culture from a bioreactor or fermentation system during a fermentation process.,precision fermentation process temperature measurement variable,,,,
obo:PREFER_0000042,pressure measurement variable,A precision fermentation process measurement variable that indicates the pressure in a bioreactor or fermentation system during a fermentation process.,precision fermentation process pressure measurement variable,,,,
obo:PREFER_0000043,volume measurement variable,A precision fermentation process measurement variable that indicates the total volume of aqueous solution in the bioreactor or fermentation system during a fermentation process.,precision fermentation process volume measurement variable,,,,
obo:PREFER_0000044,offline sample mass compound measurement variable,"A precision fermentation process measurement variable that indicates the mass of a compound present in a withdrawn process sample from a bioreactor or fermentation system during a fermentation process, used to quantify the amount of biomass, product, and other compounds.",precision fermentation process offline sample mass compound measurement variable,,,,
obo:PREFER_0000045,optical density cultivation condition,"A cultivation condition that represents the optical density related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the optical density state of the fermentation culture.",,,,,
obo:PREFER_0000046,volume cultivation condition,"A cultivation condition that represents the volume related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the working or total fermentation volume of the cultivation system.",,,,,
obo:PREFER_0000047,acid volume measurement variable,A precision fermentation process measurement variable that indicates the volume of the acidic solution added to a bioreactor or fermenetation system to maintain the pH of cultivation at a setpoint or desired value during a fermentation process.,acid added volume measurement variable|acid consumption volume measurement variable|acid solution volume measurement variable|acid used volume measurement variable|precision fermentation process acid volume measurement variable,,,,
obo:PREFER_0000048,base volume measurement variable,A precision fermentation process measurement variable that indicates the volume of the basic solution added to a bioreactor or fermentation system to maintain the pH of cultivation at a setpoint or desired value during a fermentation process.,base added volume measurement variable|base consumption volume measurement variable|base solution volume measurement variable|base used volume measurement variable|precision fermentation process base volume measurement variable,,,,
obo:PREFER_0000049,acid rate measurement variable,A precision fermentation process measurement variable that indicates the flow rate at which an acid solution is added to a bioreactor or fermentation system during a fermentation process.,precision fermentation process acid rate measurement variable,,,,
obo:PREFER_0000050,base rate measurement variable,A precision fermentation process measurement variable that indicates the flow rate at which the base solution is added to a bioreactor or fermentation system during a fermentation process.,precision fermentation process base rate measurement variable,,,,
obo:PREFER_0000051,feed amount measurement variable,"A precision fermentation process measurement variable that indicates the quantity of feed added to a bioreactor or fermentation system, during a fermentation process.",precision fermentation process feed amount measurement variable,,,,
obo:PREFER_0000052,feed volume measurement variable,A precision fermentation process measurement variable that indicates the volume of the feed solution added to a bioreactor or fermentation system during a fermentation process.,precision fermentation process feed volume measurement variable,,,,
obo:PREFER_0000053,volumetric feed rate measurement variable,A precision fermentation process measurement variable that indicates the rate at which the feed (based on its volume) is added to a bioreactor or fermentation system during a fermentation process.,precision fermentation process volumetric feed rate measurement variable,,,,
obo:PREFER_0000054,stirrer speed measurement variable,A precision fermentation process measurement variable that indicates the speed at which the impeller shaft of a bioreactor or fermentation system shaft rotates during a fermentation process.,precision fermentation process stirrer speed measurement variable,,,,
obo:PREFER_0000055,air flow rate measurement variable,A precision fermentation process measurement variable that indicates the rate at which air is supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process air flow rate measurement variable,,,,
obo:PREFER_0000056,nitrogen flow rate measurement variable,"A precision fermentation process measurement variable that indicates the rate at which nitrogen, in form of a ammonium solution, is supplied to a bioreactor or fermentation system during a fermentation process.",precision fermentation process nitrogen flow rate measurement variable,,,,
obo:PREFER_0000057,oxygen flow rate measurement variable,A precision fermentation process measurement variable that indicates the rate at which oxygen is supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process oxygen flow rate measurement variable,,,,
obo:PREFER_0000058,inlet air oxygen measurement variable,A precision fermentation process measurement variable that indicates the percentage of oxygen in the gas mixture that is being supplied to a bioreactor or fermentation system during a fermentation process.,inlet air o2 measurement variable|precision fermentation project inlet air oxygen measurement variable,,,,
obo:PREFER_0000059,inlet air carbon dioxide measurement variable,A precision fermentation process measurement variable that indicates the percentage of carbon dioxide in the gas mixture that is being supplied to a bioreactor or fermentation system during a fermentation process.,inlet air co2 measurement variable|precision fermentation process inlet air carbon dioxide measurement variable,,,,
obo:PREFER_0000060,optical density measurement variable,A precision fermentation process measurement variable that indicates the absorbance of the culture's turbidity at a specified wavelength of a bioreactor or fermentation system during a fermentation process.,OD measurement variable|precision fermentation process optical density measurement variable,,,,
obo:PREFER_0000061,oxygen uptake rate variable,A respiratory rate metric that represents the rate at which oxygen is consumed by the cell culture from a bioreactor or fermentation system during a fermentation process.,OUR variable|o2 uptake rate variable,,,,Biorespiration. Dynamic respiratory metric
obo:PREFER_0000062,carbon dioxide evolution rate variable,A respiratory rate metric that represents the rate at which carbon dioxide is released by the cell culture in a bioreactor or fermentation system during a fermentation process.,CER variable|co2 evolution rate variable,,,,Physical gas transfer. Dynamic respiratory metric
obo:PREFER_0000063,oxygen transfer rate variable,A respiratory rate metric variable that represents the rate at which oxygen is transferred from the gas phase or fermenter air into the liquid phase within a bioreactor or fermentation system during a fermentation process.,OTR variable,,,,Physical gas transfer. Dynamic respiratory metric
obo:PREFER_0000064,carbon dioxide transfer rate variable,A respiratory rate metric that represents the rate at which carbon dioxide is transferred out of the bioreactor or fermentation system during a fermentation process.,CTR variable,,,,"Physical gas transfer. Dynamic respiratory metric. Important as carbon dioxide is considered a by-product in aerobic processes, and so is a parameter used for predicting biomass concentration, evaluating energetic efficiencies of growth, monitoring growth yields and controlling fed batch processes like airflow rates or stir speeds."
obo:PREFER_0000065,respiratory quotient variable,"A respiratory rate metric that represent the ratio of carbon dioxide produced/formed to oxygen consumed during cellular metabolism in a bioreactor or fermentation system during a fermentation process, commmonly used to assess the metabolic state of cells.",RQ variable,,,,Derived metabolic indicator.
obo:PREFER_0000068,offgas carbon dioxide measurement variable,A precision fermentation process measurement variable that indicates the percentage of carbon dioxide present in the exhaust stream leaving the bioreactor or fermentation system during a fermentation process.,offgas co2 measurement variable|pecision fermentation process offgas carbon dioxide measurement variable,,,,
obo:PREFER_0000069,offgas oxygen measurement variable,A precision fermentation process measurement variable that indicates the percentage of oxygen present in the exhaust stream leaving the bioreactor or fermentation system during a fermentation process.,offgas o2 measurement variable|precision fermentation process offgas oxygen measurement variable,,,,
obo:PREFER_0000071,biomass concentration variable,A process titer metric that represents the concentration of biomass present in a withdrawn process sample from a bioreactor or fermentation system during a fermentation process.,biomass concentracion calculated variable,,,,
obo:PREFER_0000072,carbon dioxide flow rate measurement variable,A precision fermentation process measurement variable that indicates the rate at which carbon dioxide is supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process carbon dioxide flow rate measurement variable,,,,
obo:PREFER_0000073,seed cultivation condition,"A cultivation condition that represents the seed related aspects of a fermentation cultivation process, grouping process control varibales and process measurement variables that describe or regulate the inoculum or seed state within the cultivation environment.",,,,,
obo:PREFER_0000074,compound concentration variable,A process titer metric that represents the concentration of a specific compound present in a withdrawn process sample from a bioreactor or fermentation system during a fermentation process.,compound concentration calculated variable,,,,
obo:PREFER_0000075,gravimetric feed rate measurement variable,A precision fermentation process measurement variable that indicates the amount of feed fed per unit time or the mass flow rate of the feed solution added to a bioreactor or fermentation system during a fermentation process.,precision fermentation process gravimetric feed rate measurement variable,,,,
obo:PREFER_0000077,dilution feed rate control variable,"A feed process control variable that represents the target rate at which fresh feed medium is fed into a production culture relative to the total volume of the fermentation culture, representing the rate at which the production culture is diluted.",D|dilution feed rate,,,,
obo:PREFER_0000078,key process metric,A precision fermentation process calculated variable that represents a set of quantitative metrics used to asses the efficiency or performance of the fermentation process impacting technoeconomic analysis.,key performance metric|key precision fermentation process metric,,,,
obo:PREFER_0000079,carbon balance variable,"A carbon balance metric that represents the general carbon balance, which compares the total amount of carbon entering a bioreactor or fermenter system (through the substrate) to the total carbon leaving the system (through products, biomass or by-products).",C balance variable|carbon balance calculated variable,,,,
obo:PREFER_0000081,degree of reduction balance variable,"A carbon balance metric that quantifies the redox state in a bioreactor or fermentar system during a fermentation process, by ensuring that the total electrons entering the system are equal to those leaving it, reflecting electron conservation.",DoR balance variable|degree of reduction balance calculated variable,,,,
obo:PREFER_0000083,compound consumed variable,"A compound balance metric that represents the total amount of compound consumed, substrate taken up by the cells, in a bioreactor or fermentation system, during the fermentation process.",compound consumed calculated variable,,,,
obo:PREFER_0000085,microbioreactor scale,"A laboratory bioreactor scale that refers to very small volume bioreactor systems designed for high-throughput screening, typically operated at working volumes in the range of approximately a few microliters.",,,,,"For instance, microtiter plates (MTPs) fall within this category."
obo:PREFER_0000086,minibioreactor scale,"A laboratory bioreactor scale that refers to small volume bioreactor systems designed for parallelized process development and experimentation, typically operated at working volumes in the range of approximately 10 milliliters to a few liters.",,,,,"For instance, Ambr250 or Pioreactors fall within this category."
obo:PREFER_0000087,substrate uptake rate variable,"A bioproduction rate metric that represents the rate at which substrate is taken up by the cells, in a bioreactor or fermentation system during a fermentation process.",QS variable,,,,
obo:PREFER_0000088,batch phase,A fermentation phase that is a time interval of a batch fermentation process.,,,,,
obo:PREFER_0000089,specific substrate uptake rate variable,"A bioproduction rate metric that represents the rate of substrate uptake per unit of biomass, in a bioreactor or fermentation system during a fermentation process.",,,,,
obo:PREFER_0000090,feed phase,"A fermentation phase that is a time interval within a fermentation process, where feed medium injection is observed.",,,,,
obo:PREFER_0000091,process titer metric,A key process metric that represents a quantitative metric of the final concentration of the product or biomass in a fermentation process.,key precision fermentation process titer metric,,,,
obo:PREFER_0000094,substrate yield (biomass) variable,"A process yield metric that represents the yield of a compound consumed (substrate) per biomass (X), quantifying how efficiently substrate compound is consumed relative to biomass produced in a bioreactor or fermentation system, during a fermentation process.",substrate yield (X) variable,,,,
obo:PREFER_0000095,growth phase,"A fermentation phase that is a time interval within a fermentation process, where culture growth is observed.",,,,,
obo:PREFER_0000096,production phase,"A fermentation phase that is a time interval within a fermentation process, where product formation is observed.",,,,,
obo:PREFER_0000101,oxygen production rate variable,"A bioproduction rate metric that represents the rate of oxygen consumed over time, in a bioreactor or fermentation system during a fermentation process.",o2 Q variable|oxygen bioproduction rate variable|oxygen volumetric rate variable,,,,
obo:PREFER_0000103,specific oxygen uptake rate measurement variable,"A precision fermentation process measurement variable that indicates the specific rate at which oxygen is consumed in a bioreactor or fermentation system during a fermentation process, normalized per unit of biomass (X), reflecting how efficiently oxygen is consumed in relation to biomass production.",precision fermentation process specific oxygen uptake rate measurement variable|specific OUR measurement variable,,,,
obo:PREFER_0000104,oxygen yield (substrate) variable,"A process yield metric that represents the yield of oxygen consumed per substrate (S) consumed, describing how much oxygen is consumed relative to the substrate used in a bioreactor or fermentation system, during a fermentation process.",o2 yield (S) variable|oxygen yield (S) variable,,,,
obo:PREFER_0000105,seed culture,A fermentation culture role that serves as the inoculum for initiating or scaling up another fermentation culture.,inoculum culture|pre-culture|starter culture,fermentation starter,,,
obo:PREFER_0000106,oxygen yield (biomass) variable,"A process yield metric that represents the yield of oxygen consumed per biomass (X), describing how much oxygen is consumed relative to the amount of biomass generated in a bioreactor or fermentation system, during a fermentation process.",o2 yield (X) variable|oxygen yield (X) variable,,,,
obo:PREFER_0000107,compound formed variable,"A compound balance metric that represents the total amount of compound produced or formed in a bioreactor or fermentation system, representing the cumulative production of the compound during the fermentation process.",compound formed calculated variable|compound produced calculated variable|compound produced variable,,,,
obo:PREFER_0000108,fermentation medium role,"A role that inheres in a fermentation medium and that involves the medium supporting the growth of a fermentation culture by providing nutrients, physicochemical conditions, or specific additives.",cultivation medium role,,,,
obo:PREFER_0000109,batch medium,"A fermentation medium role that, when realized, involves supporting a batch fermentation process in which all nutrients are provided at the start of the process.",BM,,,,
obo:PREFER_0000110,feed medium,"A fermentation medium role that, when realized, involves supporting a fed-batch fermentation process by providing nutrients or substrates in a rate based on the feed profile type (e.g. constant, exponential,etc).",FM,,,,
obo:PREFER_0000111,residual compound amount variable,A compound balance metric that represents the remaining amount of compound left in a bioreactor or fermentation system during a fermentation process.,residual compound amount calculated variable,,,,"It is calculated substracting the compound concentration measured offline, multiplied by the liquid volume downscaled to get the residual amount."
obo:PREFER_0000112,seed medium,"A fermentation medium role that, when realized, involves supporting the growth and propagation of a seed culture used to inoculate to the production culture(main experimental culture).",SM|starter medium,,,,
obo:PREFER_0000113,compound production rate variable,"A bioproduction rate metric that represents the rate of compound produced over time, in a bioreactor or fermentation system during a fermentation process.",Qcompound,,,compound formation rate variable,
obo:PREFER_0000114,inlet air oxygen setpoint control variable,A precision fermentation process dissolved oxygen control variable indicates the target percentage of oxygen value to be regulated and maintained in the gas mixture that is being supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process inlet air oxygen setpoint control variable,,,,
obo:PREFER_0000115,specific compound production rate variable,"A bioproduction rate metric that represents the rate of compound produced per unit of biomass, in a bioreactor or fermentation system during a fermentation process, providing the efficiency of compound production relative to biomass.",specific compound bioproduction rate variable|specific compound formation rate variable,,,,
obo:PREFER_0000116,inlet air carbon dioxide setpoint control variable,A precision fermentation process dissolved oxygen control variable that indicates the target percentage of carbon dioxide value to be regulated and maintained in the gas mixture that is being supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process inlet air carbon dioxide setpoint control variable,,,,
obo:PREFER_0000117,compound produced yield (substrate) variable,"A process yield metric that represents the yield of a compound produced per substrate (S) consumed, quantifying how efficiently compound is produced relative to substrate consumption in a bioreactor or fermentation system, during a fermentation process.",compound yield (S) variable,,,,
obo:PREFER_0000118,optical density control variable,A precision fermentation process control variable that represents the target optical density value to be regulated and or maintained within a bioreactor or fermentation system during a fermentation process.,OD control setpoint|OD setpoint|optical density control setpoint|optical density setpoint|precision fermentation process optical density control variable|target OD|target optical density,,,,
obo:PREFER_0000119,dissolved oxygen control variable,A precision fermentation process control variable that represents the dissolved oxygen control variables of a bioreactor or fermentation system during a fermentation process.,DO process control variable|precision fermentation process dissolved oxygen control variable,,,,
obo:PREFER_0000120,compound produced yield (biomass) variable,"A process yield metric that represents the yield of a compound produced per biomass (X), quantifying how efficiently compound is produced relative to biomass generation in a bioreactor or fermentation system, during a fermentation process.",compound produced yield (X) variable,,,,
obo:PREFER_0000121,pressure setpoint control variable,A precision fermentation process control variable that represents the target pressure value to be regulated and maintained within a bioreactor or fermentation system during a fermentation process.,precision fermentation process pressure setpoint control variable|pressure control setpoint|pressure reference point|pressure reference value|pressure setpoint|target pressure|target pressure value,,,,
obo:PREFER_0000122,volumetric feed rate control variable,A process control variable that represents the target rate at which the feed (based on its volume) is added to a bioreactor or fermentation system during a fermentation process.,,,,,
obo:PREFER_0000128,carbon dioxide production rate variable,"A bioproduction rate metric that represents the rate of carbon dioxide produced over time, in a bioreactor or fermentation system during a fermentation process.",carbon dioxide bioproduction rate variable|co2 Q variable,,,,
obo:PREFER_0000129,inlet air nitrogen setpoint control variable,A precision fermentation process dissolved oxygen control variable that indicates the target percentage of nitrogen value to be regulated and maintained in the gas mixture that is being supplied to a bioreactor or fermentation system during a fermentation process.,precision fermentation process inlet air nitrogen setpoint control variable,,,,
obo:PREFER_0000130,specific carbon dioxide evolution rate measurement variable,"A precision fermentation process measurement variable that indicates the specific rate at which carbon dioxide is produced in a bioreactor or fermentation system during a fermentation process, normalized per unit of biomass (X) allowing metabolic efficiency comparisions between production strains.",precision fermentation process specific carbon dioxide evolution rate measurement variable|specific CER measurement variable|specific co2 evolution rate measurement variable,,,,
obo:PREFER_0000131,carbon dioxide yield (substrate) variable,"A process yield metric that represents the yield of carbon dioxide produced per substrate consumed (S), describing how much carbon dioxide is produced relative to the amount of substrate consumed in a bioreactor or fermentation system, during a fermentation process.",carbon dioxide yield (S) variable|co2 yield (S) variable,,,,
obo:PREFER_0000133,carbon dioxide yield (biomass) variable,"A process yield metric that represents the yield of carbon dioxide produced per biomass (X), describing how much carbon dioxide is produced relative to the amount of biomass generated in a bioreactor or fermentation system, during a fermentation process.",carbo dioxide yield (X) variable|co2 yield (X) variable,,,,
obo:PREFER_0000134,biomass amount variable,"A biomass balance metric that represents the absolute quantity of cellular biomass present in a bioreactor or fermentation system, at a certain time point, during a fermentation process.",biomass amount calculated variable,,,,
obo:PREFER_0000135,genomics sample calculated variable,An omics sample calculated variable that represents genomic values derived from computational analysis using DNA sequence data from an offline sample associated with a fermentation process.,,,,,
obo:PREFER_0000136,biomass lost in sampling variable,"A biomass balance metric that represents the amount of biomass removed from a bioreactor or fermentation system, at a certain sampling time point, during a fermentation process.",biomass lost in sampling calculated variable,,,,
obo:PREFER_0000137,biomass formed variable,"A biomass balance metric that represents the cumulative quantity of cellular biomass generated in a bioreactor or fermentation system, during a fermentation process.",biomass formed calculated variable|biomass production calculated variable|biomass production variable,,,,
obo:PREFER_0000138,transcriptomics sample calculated variable,An omics sample calculated variable that represents transcript features derived from computational analysis using transcriptomics data from an offline sample associated with a process.,,,,,
obo:PREFER_0000139,proteomics sample calculated variable,An omics sample calculated variable that represents protein features derived from computational analysis using proteomic data from an offline sample associated with a fermentation process.,,,,,
obo:PREFER_0000140,biomass formation rate variable,A growth rate metric that represents the rate at which the biomass is formed over time in a bioreactor or fermentation system during a fermentation process.,Rx variable|biomass production rate variable,,,,
obo:PREFER_0000141,fluxomics sample calculated variable,An omics sample calculated variable that represents metabolic flux values derived from computational analysis using experimental data from an offline sample associated with a fermentation process.,,,,,
obo:PREFER_0000142,specific biomass formation rate variable,"A growth rate metric that represents the rate of increase of biomass per unit of exisitng biomass, typically expressed as the fractional increase in biomass concentration per unit time, in a bioreactor or fermentation system during a fermentation process.",growth rate variable|specific biomass production rate variable|μ variable,,,,
obo:PREFER_0000147,biomass yield (substrate) variable,"A process yield metric that represents the yield of biomass produced per substrate consumed, describing the efficiency of substrate conversion into biomass in a bioreactor or fermentation system, during a fermentation process.",Ysx variable|biomass yield (S) variable,,,,
obo:PREFER_0000148,metabolomics sample calculated variable,An omics sample calculated variable that represents metabolite features derived from computational analysis using metabolomic data from an offline sample associated with a fermentation process.,,,,,
